city,state,country,population
Mechanicsville,Virginia,United States,37496
Valley Stream,New York,United States,37431
Oregon City,Oregon,United States,37339
Winter Springs,Florida,United States,37312
Braintree,Massachusetts,United States,37190
Rock Island,Illinois,United States,37176
Mount Juliet,Tennessee,United States,37029
Oakton,Virginia,United States,36997
New Albany,Indiana,United States,36843
Moorpark,California,United States,36375
Lincoln Park,Michigan,United States,36321
Claremont,California,United States,36266
Cooper City,Florida,United States,35800
Manhattan Beach,California,United States,35183
Menlo Park,California,United States,34698
Arcata,California,United States,34616
Lockport,New York,United States,34561
Goshen,Indiana,United States,34217
Russellville,Arkansas,United States,34205
