artist,country
Alkaline Trio,United States
Ryan Adams,United States
Fall Out Boy,United States
Death,United States
NOFX,United States
blink-182,United States
The Beatles,United Kingdom
Machine Head,United States
Obituary,United States
Muddy Waters,United States
Kings of Leon,United States
Pavement,United States
Weezer,United States
Alkaline Trio,United States
The Verve,United Kingdom
Eric Clapton,United Kingdom
Wilco,United States
The Walkmen,United States
The Books,United States
Thunder,United Kingdom
Off Minor,United States
Soul Coughing,United States
Ramones,United States
Black Sabbath,United Kingdom
Fuel,United States
Limp Bizkit,United States
City of Caterpillar,United States
Anaal Nathrakh,United Kingdom
Iced Earth,United States
CKY,United States
Mogwai,United Kingdom
Eve 6,United States
Led Zeppelin,United Kingdom
Pink Floyd,United Kingdom
mclusky,United Kingdom
Cinderella,United States
Beck,United States
The Cure,United Kingdom
Team Sleep,United States
KISS,United States
Underoath,United States
Ramones,United States
The Bravery,United States
The Meads of Asphodel,United Kingdom
Atheist,United States
Atheist,United States
!!!,United States
Megadeth,United States
Killradio,United States
Black Sabbath,United Kingdom
Pearl Jam,United States
Brian Eno,United Kingdom
MxPx,United States
Audioslave,United States
Hidden In Plain View,United States
Travis,United Kingdom
Lit,United States
Gorillaz,United Kingdom
Alkaline Trio,United States
Dire Straits,United Kingdom
Finch,United States
Morphine,United States
Judas Priest,United Kingdom
Oasis,United Kingdom
John Frusciante,United States
dredg,United States
Nile,United States
Switchfoot,United States
Avenged Sevenfold,United States
The White Stripes,United States
Coldplay,United Kingdom
Coal Chamber,United States
The Decemberists,United States
Joe Bonamassa,United States
Secret Machines,United States
Vital Remains,United States
Ryan Adams,United States
The Stooges,United States
Wings,United Kingdom
Dream Theater,United States
R.E.M.,United States
Talk Talk,United Kingdom
The Rapture,United States
Dire Straits,United Kingdom
Napalm Death,United Kingdom
Elliott Smith,United States
Limp Bizkit,United States
Funeral for a Friend,United Kingdom
I Would Set Myself On Fire For You,United States
Anthrax,United States
Staind,United States
Semisonic,United States
Bruce Springsteen,United States
Emanuel,United States
Ash,United Kingdom
Feeder,United Kingdom
As I Lay Dying,United States
Goldfinger,United States
Zao,United States
Million Dead,United Kingdom
Static-X,United States
Spirit,United States
MxPx,United States
The Go! Team,United Kingdom
Dead Kennedys,United States
Snapcase,United States
No Use for a Name,United States
Louis XIV,United States
Foo Fighters,United States
Sonic Youth,United States
Trivium,United States
Backstreet Boys,United States
MxPx,United States
Yes,United Kingdom
Pixies,United States
Unwritten Law,United States
Unwritten Law,United States
Foo Fighters,United States
Smash Mouth,United States
Ringo Starr,United Kingdom
Nine Inch Nails,United States
Queen,United Kingdom
Dire Straits,United Kingdom
Motion City Soundtrack,United States
Ramones,United States
Liquid Tension Experiment,United States
Bury Your Dead,United States
Eric Clapton,United Kingdom
Deep Purple,United Kingdom
Switchfoot,United States
yourcodenameis:milo,United Kingdom
Steve Von Till,United States
Death,United States
The Jesus and Mary Chain,United Kingdom
Lynyrd Skynyrd,United States
Bad Religion,United States
Fountains of Wayne,United States
Limp Bizkit,United States
Bane,United States
Dropkick Murphys,United States
Hawthorne Heights,United States
InMe,United Kingdom
Foo Fighters,United States
Zao,United States
Scary Kids Scaring Kids,United States
Dave Matthews Band,United States
Slayer,United States
Judas Priest,United Kingdom
The Kills,United Kingdom
Beastie Boys,United States
Funkadelic,United States
The Bouncing Souls,United States
Danzig,United States
Ozzy Osbourne,United Kingdom
The Rolling Stones,United Kingdom
Reggie and The Full Effect,United States
Randy Newman,United States
dredg,United States
Blur,United Kingdom
Lifehouse,United States
Dropkick Murphys,United States
Ra,United States
Transplants,United States
Pink Floyd,United Kingdom
Van Halen,United States
Something Corporate,United States
The Explosion,United States
Jimmy Eat World,United States
Social Distortion,United States
Yellowcard,United States
Darkest Hour,United States
Allister,United States
Bloodhound Gang,United States
Melvins,United States
The Matches,United States
Throwdown,United States
Melvins,United States
Melvins,United States
Swans,United States
American Hi-Fi,United States
Anti-Flag,United States
Chronic Future,United States
American Hi-Fi,United States
The Unseen,United States
Say Anything,United States
Kenny Wayne Shepherd Band,United States
Steve Vai,United States
Amplifier,United Kingdom
Otep,United States
R.E.M.,United States
Bayside,United States
R.E.M.,United States
Adema,United States
Zao,United States
Discharge,United Kingdom
Depswa,United States
Sufjan Stevens,United States
Boston,United States
The National,United States
Death,United States
Akercocke,United Kingdom
Third Eye Blind,United States
Overkill,United States
Relient K,United States
Evergreen Terrace,United States
The All-American Rejects,United States
Wheatus,United States
Good Charlotte,United States
Badly Drawn Boy,United Kingdom
Sinch,United States
The Black Keys,United States
Akercocke,United Kingdom
The Black Keys,United States
Anathema,United Kingdom
Rufus Wainwright,United States
A Static Lullaby,United States
Haste the Day,United States
Lifehouse,United States
Armor For Sleep,United States
Fall Out Boy,United States
Misery Signals,United States
Creed,United States
Dead Kennedys,United States
The All-American Rejects,United States
Throwdown,United States
The Suicide Machines,United States
Rufio,United States
Agent Orange,United States
The Clash,United Kingdom
The Suicide Machines,United States
Pillar,United States
Dead Kennedys,United States
Goldfinger,United States
Devo,United States
X,United States
Chicago,United States
Circle Jerks,United States
Bloodhound Gang,United States
3 Doors Down,United States
Lightning Bolt,United States
At the Drive-In,United States
Joe Satriani,United States
The Honorary Title,United States
The Nation of Ulysses,United States
The Pogues,United Kingdom
Smash Mouth,United States
Smash Mouth,United States
Metallica,United States
The Lawrence Arms,United States
Hot Cross,United States
Oysterhead,United States
Hundred Reasons,United Kingdom
Project 86,United States
Hard-Fi,United Kingdom
Creed,United States
ISIS,United States
Paul Weller,United Kingdom
Saxon,United Kingdom
Type O Negative,United States
Misfits,United States
Bush,United Kingdom
Strung Out,United States
The White Stripes,United States
The Kinison,United States
The Sound of Animals Fighting,United States
The Receiving End of Sirens,United States
Comadre,United States
The Flaming Lips,United States
The Stone Roses,United Kingdom
Iron Maiden,United Kingdom
Dio,United States
Daphne Loves Derby,United States
X,United States
Judas Priest,United Kingdom
Anthrax,United States
John 5,United States
Bruce Springsteen,United States
The Beatles,United Kingdom
KISS,United States
Death in June,United Kingdom
Carcass,United Kingdom
The Byrds,United States
Emery,United States
OK Go,United States
Autopsy,United States
Eels,United States
Stray Cats,United States
Pennywise,United States
The Allman Brothers Band,United States
Colonel Claypool's Bucket Of Bernie Brains,United States
Nevermore,United States
Brian Eno,United Kingdom
Meat Puppets,United States
Red Sparowes,United States
Every Time I Die,United States
Eric Johnson,United States
The Delgados,United Kingdom
